# ----------------------------------------
# <REDACTED>
# Browser & OS
# 20130610-20140610
# ----------------------------------------

Screen Resolution,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
1364x768,"12,428",56.95%,"7,078",39.97%,6.13,00:05:35,13.42%,"1,668",£0.00
1708x960,"12,339",45.08%,"5,563",37.88%,5.93,00:05:36,16.01%,"1,976",£0.00
533x853,"11,947",46.09%,"5,506",50.00%,4.93,00:03:42,6.96%,832,£0.00
1170x936,"11,938",50.03%,"5,973",37.39%,5.36,00:04:39,12.22%,"1,459",£0.00
1192x670,"11,802",50.98%,"6,017",38.44%,5.56,00:05:00,14.46%,"1,706",£0.00
819x614,"10,233",51.19%,"5,238",42.06%,5.08,00:04:53,14.43%,"1,477",£0.00
1536x960,"10,202",52.23%,"5,329",42.04%,5.19,00:03:55,11.12%,"1,134",£0.00
976x549,"10,195",45.90%,"4,679",39.76%,5.68,00:05:18,17.05%,"1,738",£0.00
1525x857,"10,115",52.87%,"5,348",41.64%,5.22,00:04:38,13.19%,"1,334",£0.00
1080x810,"9,796",51.69%,"5,064",40.29%,4.96,00:04:21,12.55%,"1,229",£0.00
1024x576,"9,731",49.12%,"4,780",41.01%,5.43,00:06:08,17.23%,"1,677",£0.00
1120x700,"9,608",50.85%,"4,886",40.77%,5.35,00:04:04,12.46%,"1,197",£0.00
1365x1024,"9,419",55.57%,"5,234",39.03%,5.47,00:04:27,13.74%,"1,294",£0.00
1600x1000,"9,247",40.50%,"3,745",40.10%,5.88,00:05:29,12.18%,"1,126",£0.00
960x600,"8,758",46.22%,"4,048",42.57%,5.58,00:04:48,12.25%,"1,073",£0.00
1524x857,"8,744",53.72%,"4,697",40.79%,5.48,00:04:26,14.71%,"1,286",£0.00
1140x641,"8,552",49.92%,"4,269",39.86%,5.43,00:05:02,14.53%,"1,243",£0.00
1117x894,"8,217",51.72%,"4,250",37.81%,5.77,00:04:46,12.77%,"1,049",£0.00
1525x858,"8,122",17.80%,"1,446",29.55%,7.76,00:07:36,19.75%,"1,604",£0.00
1707x960,"8,058",48.36%,"3,897",42.24%,5.12,00:04:25,14.61%,"1,177",£0.00
360x592,"7,711",72.10%,"5,560",73.34%,2.41,00:02:02,1.44%,111,£0.00
800x480,"7,664",62.08%,"4,758",55.21%,3.33,00:03:53,8.79%,674,£0.00
2048x1152,"7,601",46.63%,"3,544",43.20%,4.87,00:03:26,12.04%,915,£0.00
800x1280,"7,423",58.39%,"4,334",56.73%,4.33,00:03:39,6.26%,465,£0.00
1067x800,"7,372",56.51%,"4,166",42.92%,5.05,00:04:19,13.48%,994,£0.00
1429x1143,"7,333",46.30%,"3,395",35.59%,5.77,00:04:36,13.00%,953,£0.00
2560x1600,"7,068",48.05%,"3,396",48.20%,4.49,00:03:33,10.02%,708,£0.00
1455x818,"6,728",52.56%,"3,536",41.78%,5.58,00:04:44,13.42%,903,£0.00
1684x947,"6,582",53.25%,"3,505",42.62%,5.15,00:04:03,13.46%,886,£0.00
1680x945,"6,452",49.85%,"3,216",45.07%,4.56,00:04:12,14.31%,923,£0.00
1382x864,"6,365",52.44%,"3,338",39.87%,4.91,00:04:09,11.58%,737,£0.00
1829x1029,"6,275",53.15%,"3,335",41.75%,4.96,00:03:41,12.40%,778,£0.00
1333x750,"6,247",49.27%,"3,078",40.02%,5.90,00:05:04,13.43%,839,£0.00
983x737,"6,121",51.33%,"3,142",40.68%,4.93,00:04:44,11.93%,730,£0.00
1024x736,"6,119",77.69%,"4,754",23.21%,8.61,00:07:56,13.40%,820,£0.00
942x530,"6,096",44.49%,"2,712",41.04%,5.82,00:05:26,16.37%,998,£0.00
853x683,"6,093",50.88%,"3,100",39.23%,5.98,00:05:07,13.93%,849,£0.00
1088x614,"6,034",55.39%,"3,342",43.98%,4.89,00:04:23,14.27%,861,£0.00
1069x855,"5,967",52.69%,"3,144",36.87%,5.43,00:04:29,12.20%,728,£0.00
1843x1037,"5,716",53.03%,"3,031",40.31%,5.02,00:03:56,11.28%,645,£0.00
1143x857,"5,711",56.58%,"3,231",38.57%,5.09,00:04:29,13.61%,777,£0.00
540x960,"5,575",65.29%,"3,640",68.54%,2.87,00:02:37,2.92%,163,£0.00
1391x783,"5,560",54.15%,"3,011",41.17%,5.22,00:04:30,12.61%,701,£0.00
1707x1365,"5,307",54.66%,"2,901",35.69%,6.38,00:05:38,12.42%,659,£0.00
1619x910,"5,271",52.67%,"2,776",40.26%,5.48,00:04:43,14.51%,765,£0.00
,"28,840,882",48.72%,"14,050,138",44.25%,5.01,00:04:20,12.42%,"3,582,981",£0.00

Day Index,Sessions
6/10/13,"116,061"
6/11/13,"116,775"
6/12/13,"113,331"
6/13/13,"103,932"
6/14/13,"85,870"
6/15/13,"58,184"
6/16/13,"65,487"
6/17/13,"117,072"
6/18/13,"115,288"
6/19/13,"105,493"
6/20/13,"103,435"
6/21/13,"84,998"
6/22/13,"57,535"
6/23/13,"69,090"
6/24/13,"113,781"
6/25/13,"107,815"
6/26/13,"104,743"
6/27/13,"97,648"
6/28/13,"82,256"
6/29/13,"50,959"
6/30/13,"56,733"
7/1/13,"108,748"
7/2/13,"113,045"
7/3/13,"105,856"
7/4/13,"97,017"
7/5/13,"74,430"
7/6/13,"45,123"
7/7/13,"49,378"
7/8/13,"102,031"
7/9/13,"101,190"
7/10/13,"101,367"
7/11/13,"91,179"
7/12/13,"74,065"
7/13/13,"43,952"
7/14/13,"53,655"
7/15/13,"101,898"
7/16/13,"95,507"
7/17/13,"93,531"
7/18/13,"88,606"
7/19/13,"75,339"
7/20/13,"50,034"
7/21/13,"58,371"
7/22/13,"102,589"
7/23/13,"104,647"
7/24/13,"98,835"
7/25/13,"92,004"
7/26/13,"73,160"
7/27/13,"49,704"
7/28/13,"58,733"
7/29/13,"102,288"
7/30/13,"104,968"
7/31/13,"84,830"
8/1/13,"82,362"
8/2/13,"73,378"
8/3/13,"43,808"
8/4/13,"53,365"
8/5/13,"97,768"
8/6/13,"89,298"
8/7/13,"82,837"
8/8/13,"72,912"
8/9/13,"68,914"
8/10/13,"43,507"
8/11/13,"51,280"
8/12/13,"90,150"
8/13/13,"92,364"
8/14/13,"85,163"
8/15/13,"79,785"
8/16/13,"64,578"
8/17/13,"44,554"
8/18/13,"51,672"
8/19/13,"87,538"
8/20/13,"84,814"
8/21/13,"78,804"
8/22/13,"74,323"
8/23/13,"61,755"
8/24/13,"43,018"
8/25/13,"40,220"
8/26/13,"52,408"
8/27/13,"81,340"
8/28/13,"80,352"
8/29/13,"73,139"
8/30/13,"62,868"
8/31/13,"39,744"
9/1/13,"50,241"
9/2/13,"89,717"
9/3/13,"93,719"
9/4/13,"91,249"
9/5/13,"88,331"
9/6/13,"79,452"
9/7/13,"52,817"
9/8/13,"63,172"
9/9/13,"109,589"
9/10/13,"103,896"
9/11/13,"104,317"
9/12/13,"96,513"
9/13/13,"80,171"
9/14/13,"52,278"
9/15/13,"63,605"
9/16/13,"104,512"
9/17/13,"105,226"
9/18/13,"98,916"
9/19/13,"88,992"
9/20/13,"68,433"
9/21/13,"44,602"
9/22/13,"52,144"
9/23/13,"94,340"
9/24/13,"96,530"
9/25/13,"92,488"
9/26/13,"86,477"
9/27/13,"69,399"
9/28/13,"45,536"
9/29/13,"56,066"
9/30/13,"100,992"
10/1/13,"95,801"
10/2/13,"88,787"
10/3/13,"81,753"
10/4/13,"68,709"
10/5/13,"42,444"
10/6/13,"50,747"
10/7/13,"91,237"
10/8/13,"88,070"
10/9/13,"83,981"
10/10/13,"76,932"
10/11/13,"62,987"
10/12/13,"39,715"
10/13/13,"52,515"
10/14/13,"85,185"
10/15/13,"83,884"
10/16/13,"97,598"
